service_id,date,exception_type
"5426_262585","20241003","1"
"5426_262585","20241004","1"
"5426_262588","20241005","1"
"5426_262589","20241003","1"
"5426_262589","20241004","1"
"5426_262591","20241005","1"
"5426_262592","20241003","1"
"5426_262592","20241004","1"
"5426_262593","20241005","1"
"5426_262594","20241003","1"
"5426_262594","20241004","1"
"5426_262595","20241005","1"
"5426_262597","20241003","1"
"5426_262597","20241004","1"
"5426_262599","20241005","1"
"5426_262601","20241005","1"
"5426_262603","20241003","1"
"5426_262603","20241004","1"
"5426_262604","20241006","1"
"5426_262606","20241003","1"
"5426_262606","20241004","1"
"5426_262609","20241005","1"
"5426_262611","20241003","1"
"5426_262611","20241004","1"
"5426_262612","20241006","1"
"5426_262614","20241003","1"
"5426_262614","20241004","1"
"5426_262616","20241003","1"
"5426_262616","20241004","1"
"5426_262617","20241006","1"
"5426_262620","20241006","1"
"5426_262622","20241003","1"
"5426_262622","20241004","1"
"5426_262623","20241005","1"
"5426_262626","20241003","1"
"5426_262626","20241004","1"
"5426_262627","20241005","1"
"5426_262628","20241003","1"
"5426_262628","20241004","1"
"5426_262629","20241005","1"
"5426_262630","20241003","1"
"5426_262630","20241004","1"
"5426_262631","20241005","1"
"5426_262632","20241003","1"
"5426_262632","20241004","1"
"5426_262635","20241005","1"
"5426_262636","20241006","1"
"5426_262637","20241003","1"
"5426_262637","20241004","1"
"5426_262638","20241005","1"
"5426_262640","20241003","1"
"5426_262640","20241004","1"
"5426_262642","20241003","1"
"5426_262642","20241004","1"
"5426_262643","20241005","1"
"5426_262644","20241003","1"
"5426_262644","20241004","1"
"5426_262644","20241005","1"
"5426_262645","20241003","1"
"5426_262645","20241004","1"
"5426_262646","20241005","1"
"5426_262647","20241003","1"
"5426_262647","20241004","1"
"5426_262648","20241005","1"
"5426_262649","20241003","1"
"5426_262649","20241004","1"
"5426_262650","20241003","1"
"5426_262650","20241004","1"
"5426_262651","20241003","1"
"5426_262651","20241004","1"
"5426_262652","20241006","1"
"5426_262657","20241005","1"
"5426_262661","20241003","1"
"5426_262661","20241004","1"
"5426_262662","20241003","1"
"5426_262662","20241004","1"
"5426_262663","20241003","1"
"5426_262663","20241004","1"
"5426_262664","20241003","1"
"5426_262664","20241004","1"
"5426_262665","20241003","1"
"5426_262665","20241004","1"
"5487_613163","20241013","1"
"5487_613163","20241020","1"
"5487_613163","20241027","1"
"5487_613163","20241101","1"
"5487_613163","20241103","1"
"5487_613163","20241110","1"
"5487_613163","20241117","1"
"5487_613163","20241201","1"
"5487_613163","20241208","1"
"5487_613163","20241215","1"
"5487_613163","20241222","1"
"5487_613163","20241226","1"
"5487_613163","20241229","1"
"5487_613164","20241013","1"
"5487_613164","20241020","1"
"5487_613164","20241027","1"
"5487_613164","20241101","1"
"5487_613164","20241103","1"
"5487_613164","20241110","1"
"5487_613164","20241117","1"
"5487_613164","20241124","1"
"5487_613164","20241201","1"
"5487_613164","20241208","1"
"5487_613164","20241215","1"
"5487_613164","20241222","1"
"5487_613164","20241226","1"
"5487_613164","20241229","1"
"5487_613165","20241225","1"
"5487_613166","20241007","1"
"5487_613166","20241008","1"
"5487_613166","20241009","1"
"5487_613166","20241010","1"
"5487_613166","20241011","1"
"5487_613166","20241012","1"
"5487_613166","20241014","1"
"5487_613166","20241015","1"
"5487_613166","20241016","1"
"5487_613166","20241017","1"
"5487_613166","20241018","1"
"5487_613166","20241019","1"
"5487_613166","20241021","1"
"5487_613166","20241022","1"
"5487_613166","20241023","1"
"5487_613166","20241024","1"
"5487_613166","20241025","1"
"5487_613166","20241026","1"
"5487_613166","20241028","1"
"5487_613166","20241029","1"
"5487_613166","20241030","1"
"5487_613166","20241031","1"
"5487_613166","20241102","1"
"5487_613166","20241104","1"
"5487_613166","20241105","1"
"5487_613166","20241106","1"
"5487_613166","20241107","1"
"5487_613166","20241108","1"
"5487_613166","20241109","1"
"5487_613166","20241111","1"
